Age,Workclass,Education,Marital status,Occupation,Race,Sex,Native country,Income
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,<=50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,>50K
