Age,Workclass,Education,Maritalstatus,Occupation,Race,Sex,Nativecountry,Income
39,State-gov,Bachelors,Never-married,Adm-clerical,White,Male,United-States,27
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,43
38,Private,HS-grad,Divorced,Handlers-cleaners,White,Male,United-States,52
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Black,Male,United-States,76
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,Cuba,32
37,Private,Masters,Married-civ-spouse,Exec-managerial,White,Female,United-States,57
49,Private,9th,Married-spouse-absent,Other-service,Black,Female,Jamaica,43
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,75
31,Private,Masters,Never-married,Prof-specialty,White,Female,United-States,73
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,49
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,United-States,70
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,India,42
23,Private,Bachelors,Never-married,Adm-clerical,White,Female,United-States,59
32,Private,Assoc-acdm,Never-married,Sales,Black,Male,United-States,70
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,Mexico,61
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,White,Male,United-States,26
32,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,United-States,66
38,Private,11th,Married-civ-spouse,Sales,White,Male,United-States,48
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,White,Female,United-States,67
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,63
54,Private,HS-grad,Separated,Other-service,Black,Female,United-States,43
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Black,Male,United-States,70
43,Private,11th,Married-civ-spouse,Transport-moving,White,Male,United-States,58
59,Private,HS-grad,Divorced,Tech-support,White,Female,United-States,35
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,United-States,39
19,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,66
39,Private,HS-grad,Divorced,Exec-managerial,White,Male,United-States,66
49,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,41
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,White,Male,United-States,75
20,Private,Some-college,Never-married,Sales,Black,Male,United-States,63
45,Private,Bachelors,Divorced,Exec-managerial,White,Male,United-States,57
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,United-States,43
22,State-gov,Some-college,Married-civ-spouse,Other-service,Black,Male,United-States,48
48,Private,11th,Never-married,Machine-op-inspct,White,Male,Puerto-Rico,53
21,Private,Some-college,Never-married,Machine-op-inspct,White,Male,United-States,46
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,United-States,56
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Male,United-States,57
31,Private,9th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,31
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,30
24,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,United-States,37
49,Private,HS-grad,Separated,Adm-clerical,White,Female,United-States,75
25,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,United-States,44
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,United-States,42
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,41
44,Private,Masters,Divorced,Exec-managerial,White,Female,United-States,27
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,United-States,53
29,Private,Assoc-voc,Never-married,Prof-specialty,White,Male,United-States,35
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Other,Female,United-States,33
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,Honduras,29
50,Federal-gov,Bachelors,Divorced,Exec-managerial,White,Male,United-States,69
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,White,Male,United-States,43
43,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,United-States,72
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,58
35,Private,Assoc-voc,Married-civ-spouse,Other-service,White,Male,Puerto-Rico,39
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,77
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,43
30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,74
48,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,43
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,50
29,Private,Some-college,Divorced,Tech-support,White,Male,United-States,46
36,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,31
28,Private,Some-college,Divorced,Adm-clerical,White,Female,United-States,77
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,United-States,63
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,65
19,Private,Some-college,Never-married,Prof-specialty,White,Male,United-States,69
31,Private,Bachelors,Separated,Sales,Black,Female,United-States,61
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,37
23,Private,Some-college,Never-married,Machine-op-inspct,White,Male,United-States,42
79,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,United-States,36
27,Private,HS-grad,Never-married,Other-service,White,Male,Mexico,39
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,United-States,47
18,Private,11th,Never-married,Other-service,White,Female,United-States,63
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,United-States,28
18,Private,HS-grad,Never-married,Sales,White,Male,United-States,68
52,Private,Bachelors,Married-civ-spouse,Other-service,White,Male,Cuba,29
46,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,69
59,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,51
44,Private,HS-grad,Divorced,Craft-repair,White,Female,United-States,57
53,Private,HS-grad,Divorced,Sales,White,Female,United-States,62
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,43
33,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,55
30,Private,9th,Never-married,Sales,White,Male,United-States,61
43,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Female,United-States,45
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,United-States,37
37,Private,Some-college,Divorced,Craft-repair,White,Female,United-States,44
28,Private,Some-college,Divorced,Machine-op-inspct,Black,Female,United-States,49
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,United-States,27
29,Local-gov,Some-college,Never-married,Handlers-cleaners,White,Male,United-States,75
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,30
37,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,34
48,Private,Assoc-acdm,Divorced,Exec-managerial,White,Female,England,73
32,Federal-gov,HS-grad,Never-married,Other-service,Black,Male,United-States,77
76,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,42
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,52
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,White,Female,United-States,51
20,Private,Some-college,Never-married,Tech-support,White,Female,United-States,26
29,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,73
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,35
30,Private,11th,Never-married,Handlers-cleaners,White,Male,United-States,53
31,Local-gov,HS-grad,Never-married,Adm-clerical,White,Female,United-States,43
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,43
24,Private,Bachelors,Never-married,Sales,White,Male,United-States,31
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,57
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Male,Canada,64
28,Private,Some-college,Married-civ-spouse,Sales,White,Female,United-States,71
36,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,United-States,41
53,Private,9th,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,42
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Male,United-States,46
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Black,Male,United-States,71
55,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,43
22,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,46
21,Private,Some-college,Never-married,Other-service,White,Female,United-States,73
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,65
30,Private,Bachelors,Never-married,Exec-managerial,Black,Male,Germany,54
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,73
19,Private,Some-college,Never-married,Other-service,Black,Male,United-States,63
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,United-States,55
20,Private,Some-college,Never-married,Adm-clerical,White,Female,United-States,76
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,United-States,35
39,Private,Some-college,Divorced,Craft-repair,White,Male,United-States,27
28,Private,Assoc-acdm,Never-married,Sales,White,Female,United-States,72
24,Private,HS-grad,Never-married,Other-service,White,Female,United-States,71
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,71
37,Private,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,54
46,Private,Assoc-acdm,Divorced,Tech-support,Black,Female,United-States,30
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,Iran,75
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,31
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,United-States,54
20,Private,Some-college,Never-married,Sales,White,Male,United-States,59
49,Private,Some-college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,United-States,72
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,64
27,Private,Some-college,Never-married,Sales,White,Female,United-States,38
19,Private,Some-college,Never-married,Other-service,White,Male,Mexico,48
45,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,United-States,66
70,Private,Some-college,Never-married,Tech-support,White,Male,United-States,33
31,Private,HS-grad,Never-married,Transport-moving,Black,Female,United-States,34
22,Private,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,39
36,Private,HS-grad,Widowed,Other-service,White,Female,United-States,72
64,Private,11th,Married-civ-spouse,Craft-repair,White,Male,United-States,33
47,Local-gov,Some-college,Divorced,Adm-clerical,White,Female,Mexico,51
34,Private,HS-grad,Never-married,Adm-clerical,White,Female,United-States,73
33,Private,Bachelors,Never-married,Exec-managerial,Asian-Pac-Islander,Female,Philippines,33
21,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,63
48,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,43
23,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,United-States,66
71,Self-emp-not-inc,Some-college,Separated,Sales,Black,Male,United-States,62
29,Private,HS-grad,Divorced,Craft-repair,White,Male,United-States,77
42,Private,Bachelors,Separated,Other-service,Black,Male,United-States,64
25,Private,HS-grad,Never-married,Other-service,White,Female,United-States,31
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Female,United-States,34
28,Private,HS-grad,Never-married,Exec-managerial,Asian-Pac-Islander,Female,England,68
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,Male,United-States,33
36,Private,Some-college,Divorced,Other-service,White,Female,Mexico,52
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,White,Male,United-States,32
46,State-gov,Masters,Widowed,Protective-serv,White,Male,United-States,41
18,Private,11th,Never-married,Handlers-cleaners,White,Male,United-States,28
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,White,Female,United-States,29
27,Private,HS-grad,Never-married,Other-service,White,Male,United-States,33
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,34
51,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,27
27,Private,Bachelors,Never-married,Craft-repair,White,Male,United-States,63
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,66
27,Private,HS-grad,Married-spouse-absent,Sales,White,Female,United-States,64
21,Private,HS-grad,Never-married,Craft-repair,Black,Male,United-States,76
34,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,United-States,54
18,Private,HS-grad,Never-married,Other-service,White,Male,United-States,60
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,42
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,United-States,52
43,Private,Some-college,Divorced,Adm-clerical,White,Female,United-States,54
30,Private,Some-college,Never-married,Craft-repair,Black,Male,United-States,44
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,33
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,United-States,51
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,United-States,55
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Female,United-States,63
31,Private,Masters,Married-civ-spouse,Prof-specialty,White,Female,United-States,38
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,68
38,Private,Some-college,Divorced,Machine-op-inspct,Black,Female,United-States,41
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,58
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Black,Male,United-States,54
47,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,United-States,56
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,United-States,61
23,Private,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico,41
36,Private,Some-college,Divorced,Craft-repair,White,Male,United-States,47
40,Federal-gov,Masters,Never-married,Exec-managerial,White,Female,United-States,29
35,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,41
24,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,United-States,47
26,Private,Masters,Never-married,Prof-specialty,White,Female,United-States,64
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,34
42,Local-gov,Some-college,Never-married,Prof-specialty,White,Female,United-States,77
37,State-gov,HS-grad,Divorced,Adm-clerical,White,Female,United-States,76
18,Private,11th,Never-married,Sales,White,Female,United-States,26
36,Private,Bachelors,Married-civ-spouse,Other-service,Black,Male,United-States,53
35,Private,HS-grad,Divorced,Craft-repair,White,Male,United-States,42
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Female,United-States,62
17,Private,11th,Never-married,Sales,White,Female,United-States,39
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,United-States,36
37,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,45
35,Private,Some-college,Never-married,Sales,Amer-Indian-Eskimo,Female,United-States,68
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,United-States,50
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,69
37,Private,Bachelors,Never-married,Exec-managerial,Black,Male,United-States,46
50,Private,Assoc-acdm,Divorced,Sales,White,Female,United-States,26
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,Poland,51
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,53
25,Private,10th,Never-married,Craft-repair,White,Male,United-States,68
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,47
90,Private,HS-grad,Never-married,Other-service,Black,Male,United-States,30
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,United-States,51
53,Local-gov,Preschool,Never-married,Machine-op-inspct,White,Female,United-States,54
18,Private,HS-grad,Never-married,Sales,White,Female,United-States,68
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,47
75,Private,Assoc-voc,Widowed,Adm-clerical,White,Female,Columbia,32
65,Private,HS-grad,Divorced,Adm-clerical,White,Female,United-States,35
35,Private,11th,Separated,Transport-moving,Black,Male,United-States,59
41,Private,HS-grad,Divorced,Sales,Black,Female,United-States,47
25,Private,Some-college,Never-married,Adm-clerical,White,Male,United-States,41
33,Private,Some-college,Divorced,Craft-repair,Other,Female,United-States,49
28,Private,Prof-school,Never-married,Prof-specialty,White,Male,United-States,43
59,State-gov,HS-grad,Married-civ-spouse,Other-service,White,Male,United-States,58
40,State-gov,Some-college,Never-married,Adm-clerical,White,Female,United-States,58
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Iran,55
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,38
23,Private,HS-grad,Never-married,Transport-moving,White,Male,United-States,63
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,37
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,47
