Age,Workclass,Education,Marital status,Occupation,Race,Sex,Native country,Income
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
[20-40[,Government,Higher education,Spouse not present,*,Black,Female,United-States,<=50K
