Age,Workclass,Education,Marital status,Occupation,Race,Sex,Native country,Income
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,66
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,55
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,71
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,40
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,37
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,47
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,Black,Female,United-States,59
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,59
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,52
[20-40[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,58
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,75
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,27
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,74
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Female,United-States,50
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,39
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,73
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,72
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,72
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,43
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,77
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,50
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,42
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,63
[40-60[,Federal-gov,Higher education,Divorced,Nontechnical,White,Male,United-States,61
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,United-States,46
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,United-States,64
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,51
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Female,United-States,28
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,36
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,44
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,50
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,47
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,44
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,64
[40-60[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,Black,Male,United-States,63
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,73
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Female,United-States,44
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,64
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,68
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,72
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,26
[20-40[,Federal-gov,Higher education,Married-civ-spouse,Nontechnical,White,Male,United-States,33
