Age,Workclass,Education,Maritalstatus,Occupation,Race,Sex,Nativecountry,Income
39,State-gov,Bachelors,Never-married,Adm-clerical,White,Male,United-States,66
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,55
38,Private,HS-grad,Divorced,Handlers-cleaners,White,Male,United-States,71
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Black,Male,United-States,40
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,Cuba,37
37,Private,Masters,Married-civ-spouse,Exec-managerial,White,Female,United-States,47
49,Private,9th,Married-spouse-absent,Other-service,Black,Female,Jamaica,59
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,59
31,Private,Masters,Never-married,Prof-specialty,White,Female,United-States,52
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,58
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,United-States,75
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,India,27
23,Private,Bachelors,Never-married,Adm-clerical,White,Female,United-States,74
32,Private,Assoc-acdm,Never-married,Sales,Black,Male,United-States,50
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,Mexico,39
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,White,Male,United-States,73
32,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,United-States,72
38,Private,11th,Married-civ-spouse,Sales,White,Male,United-States,72
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,White,Female,United-States,43
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,77
54,Private,HS-grad,Separated,Other-service,Black,Female,United-States,50
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Black,Male,United-States,42
43,Private,11th,Married-civ-spouse,Transport-moving,White,Male,United-States,63
59,Private,HS-grad,Divorced,Tech-support,White,Female,United-States,61
