Age,Workclass,Education,Marital status,Occupation,Race,Sex,Native country,Income
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,66
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,55
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,71
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,40
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,37
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,47
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,59
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,59
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,52
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,58
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,75
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,27
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,74
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,50
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,39
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,73
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,72
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,72
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,43
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,77
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,50
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,42
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,63
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,61
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,46
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,64
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,51
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,28
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,36
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,44
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,50
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,47
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,44
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,64
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,63
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,73
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,44
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,64
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,68
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,72
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,26
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,33
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,63
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,53
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,67
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,44
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,73
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,59
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,53
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,60
