Age,Workclass,Education,Occupation,Marital Status,Relationship,Race,Sex,Native Country,Salary
*,*,Bachelors,Other,*,Unmarried,*,*,*,41
*,*,Bachelors,Nontechnical,*,Married,*,*,*,41
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,45
*,*,11th,Nontechnical,*,Married,*,*,*,42
*,*,Bachelors,Technical,*,Married,*,*,*,45
*,*,Masters,Nontechnical,*,Married,*,*,*,43
*,*,9th,Other,*,Unmarried,*,*,*,38
*,*,HS-grad,Nontechnical,*,Married,*,*,*,92
*,*,Masters,Technical,*,Unmarried,*,*,*,62
*,*,Bachelors,Nontechnical,*,Married,*,*,*,68
*,*,Some-college,Nontechnical,*,Married,*,*,*,67
*,*,Bachelors,Technical,*,Married,*,*,*,91
*,*,Bachelors,Other,*,Unmarried,*,*,*,41
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,46
*,*,Assoc-voc,Technical,*,Married,*,*,*,51
*,*,7th-8th,Other,*,Married,*,*,*,48
*,*,HS-grad,Other,*,Unmarried,*,*,*,37
*,*,HS-grad,Technical,*,Unmarried,*,*,*,37
*,*,11th,Nontechnical,*,Married,*,*,*,36
*,*,Masters,Nontechnical,*,Unmarried,*,*,*,83
*,*,Doctorate,Technical,*,Married,*,*,*,66
*,*,HS-grad,Other,*,Unmarried,*,*,*,47
*,*,9th,Other,*,Married,*,*,*,35
*,*,11th,Other,*,Married,*,*,*,46
*,*,HS-grad,Technical,*,Unmarried,*,*,*,37
*,*,Bachelors,Technical,*,Married,*,*,*,50
*,*,HS-grad,Technical,*,Unmarried,*,*,*,40
*,*,Some-college,*,*,Married,*,*,*,55
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,28
*,*,HS-grad,Technical,*,Married,*,*,*,41
*,*,Assoc-acdm,Other,*,Unmarried,*,*,*,36
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,33
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,42
*,*,Some-college,Other,*,Unmarried,*,*,*,36
*,*,Some-college,Other,*,Married,*,*,*,32
*,*,11th,Technical,*,Unmarried,*,*,*,43
*,*,Some-college,Technical,*,Unmarried,*,*,*,48
*,*,HS-grad,Other,*,Married,*,*,*,40
*,*,Some-college,Nontechnical,*,Married,*,*,*,51
*,*,Assoc-acdm,Technical,*,Married,*,*,*,48
*,*,9th,Technical,*,Married,*,*,*,46
*,*,Bachelors,Technical,*,Married,*,*,*,47
*,*,Bachelors,Technical,*,Married,*,*,*,43
*,*,HS-grad,Other,*,Unmarried,*,*,*,40
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,42
*,*,Bachelors,Technical,*,Married,*,*,*,75
