Age	Workclass	Education	Occupation	Marital Status	Relationship	Race	Sex	Native Country	Salary	
[*, *]	*	Bachelors	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Bachelors	Nontechnical	*	Married	*	*	*	<=50K	
[*, *]	*	HS-grad	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	11th	Nontechnical	*	Married	*	*	*	<=50K	
[*, *]	*	Bachelors	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	Masters	Nontechnical	*	Married	*	*	*	<=50K	
[*, *]	*	9th	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	HS-grad	Nontechnical	*	Married	*	*	*	>50K	
[*, *]	*	Masters	Technical	*	Unmarried	*	*	*	>50K	
[*, *]	*	Bachelors	Nontechnical	*	Married	*	*	*	>50K	
[*, *]	*	Some-college	Nontechnical	*	Married	*	*	*	>50K	
[*, *]	*	Bachelors	Technical	*	Married	*	*	*	>50K	
[*, *]	*	Bachelors	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Assoc-acdm	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Assoc-voc	Technical	*	Married	*	*	*	>50K	
[*, *]	*	7th-8th	Other	*	Married	*	*	*	<=50K	
[*, *]	*	HS-grad	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	HS-grad	Technical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	11th	Nontechnical	*	Married	*	*	*	<=50K	
[*, *]	*	Masters	Nontechnical	*	Unmarried	*	*	*	>50K	
[*, *]	*	Doctorate	Technical	*	Married	*	*	*	>50K	
[*, *]	*	HS-grad	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	9th	Other	*	Married	*	*	*	<=50K	
[*, *]	*	11th	Other	*	Married	*	*	*	<=50K	
[*, *]	*	HS-grad	Technical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Bachelors	Technical	*	Married	*	*	*	>50K	
[*, *]	*	HS-grad	Technical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Some-college	*	*	Married	*	*	*	>50K	
[*, *]	*	HS-grad	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	HS-grad	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	Assoc-acdm	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Some-college	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Bachelors	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Some-college	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Some-college	Other	*	Married	*	*	*	<=50K	
[*, *]	*	11th	Technical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Some-college	Technical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	HS-grad	Other	*	Married	*	*	*	<=50K	
[*, *]	*	Some-college	Nontechnical	*	Married	*	*	*	>50K	
[*, *]	*	Assoc-acdm	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	9th	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	Bachelors	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	Bachelors	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	HS-grad	Other	*	Unmarried	*	*	*	<=50K	
[*, *]	*	HS-grad	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Bachelors	Technical	*	Married	*	*	*	>50K	
[*, *]	*	HS-grad	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	Masters	Nontechnical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Assoc-voc	Technical	*	Married	*	*	*	<=50K	
[*, *]	*	Assoc-voc	Technical	*	Unmarried	*	*	*	<=50K	
[*, *]	*	Some-college	Nontechnical	*	Married	*	*	*	<=50K	
[*, *]	*	HS-grad	Other	*	Unmarried	*	*	*	<=50K	
