Season,Year,Month,Hour,Holiday,Weekday,Working Day,Weather ID,Temperature,Feeling Temperature,Humidity,Windspeed,Count
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,16
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,40
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,32
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,13
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,1
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,1
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,3
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,8
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,14
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,36
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,56
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,84
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,94
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,106
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,110
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,93
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,67
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,35
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,37
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,36
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,34
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,28
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,39
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,17
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,17
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,9
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,6
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,3
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,1
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,8
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,20
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,53
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,70
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,93
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,75
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,59
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,74
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,76
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,65
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,53
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,30
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,22
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,31
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,9
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,8
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,5
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,1
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,3
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,30
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,64
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,154
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,88
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,44
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,51
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,61
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,61
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,77
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,72
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,76
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,157
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,157
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,110
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,52
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,52
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,20
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,12
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,5
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,1
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,4
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,36
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,94
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,179
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,100
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,42
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,57
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,78
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,97
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,63
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,65
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,83
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,212
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,182
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,112
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,54
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,48
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,35
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,11
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,6
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,6
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,2
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,3
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,33
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,88
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,195
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,115
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,57
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,46
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,79
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,71
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,62
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,62
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,89
Warm-season,*,[1-7[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.8-1.2[,[0-0.4[,190
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,169
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,132
Warm-season,*,[1-7[,*,1,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,89
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,43
Cold-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,42
Warm-season,*,[7-13[,*,0,*,0,*,[0-0.4[,[0-0.4[,[0.4-0.8[,[0-0.4[,19
