Season,Year,Month,Hour,Holiday,Weekday,Working Day,Weather ID,Temperature,Feeling Temperature,Humidity,Windspeed,Count
Spring,2011,1,0,0,6,0,1,0.24,0.2879,0.81,0,16
Spring,2011,1,1,0,6,0,1,0.22,0.2727,0.8,0,40
Spring,2011,1,2,0,6,0,1,0.22,0.2727,0.8,0,32
Spring,2011,1,3,0,6,0,1,0.24,0.2879,0.75,0,13
Spring,2011,1,4,0,6,0,1,0.24,0.2879,0.75,0,1
Spring,2011,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
Spring,2011,1,6,0,6,0,1,0.22,0.2727,0.8,0,2
Spring,2011,1,7,0,6,0,1,0.2,0.2576,0.86,0,3
Spring,2011,1,8,0,6,0,1,0.24,0.2879,0.75,0,8
Spring,2011,1,9,0,6,0,1,0.32,0.3485,0.76,0,14
Spring,2011,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
Spring,2011,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
Spring,2011,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
Spring,2011,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
Spring,2011,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
Spring,2011,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
Spring,2011,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
Spring,2011,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
Spring,2011,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
Spring,2011,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
Spring,2011,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
Spring,2011,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
Spring,2011,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
Spring,2011,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
Spring,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
Spring,2011,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
Spring,2011,1,2,0,0,0,2,0.42,0.4242,1,0.2836,9
Spring,2011,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
Spring,2011,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
Spring,2011,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
Spring,2011,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
Spring,2011,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
Spring,2011,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
Spring,2011,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
Spring,2011,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
Spring,2011,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
Spring,2011,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
Spring,2011,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
Spring,2011,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
Spring,2011,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
Spring,2011,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
Spring,2011,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
Spring,2011,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
Spring,2011,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
Spring,2011,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
Spring,2011,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
Spring,2011,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
Spring,2011,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
Spring,2011,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
Spring,2011,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
Spring,2011,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
Spring,2011,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
Spring,2011,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
Spring,2011,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
Spring,2011,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
Spring,2011,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
Spring,2011,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
Spring,2011,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
Spring,2011,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
Spring,2011,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
Spring,2011,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
Spring,2011,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
Spring,2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
